0,	[2222.04, 340.217],	2,	6,	-1,	-1
0,	[1736.25, 344.392],	-1,	2,	-1,	-1
0,	[2127.02, 346.935],	2,	2,	-1,	-1
0,	[1775.01, 348.934],	2,	-1,	-1,	-1
0,	[1902.05, 352.065],	2,	6,	-1,	-1
0,	[1859.45, 353.374],	2,	2,	-1,	-1
0,	[2505.94, 368.49],	2,	-1,	-1,	-1
0,	[2453.04, 375.919],	0,	2,	-1,	-1
0,	[2403.99, 382.038],	0,	0,	-1,	-1
0,	[2355.03, 387.94],	4,	0,	-1,	-1
0,	[2305.99, 392.488],	3,	4,	-1,	-1
0,	[2257.49, 396.992],	7,	7,	-1,	-1
0,	[2209.94, 400.081],	6,	6,	-1,	-1
0,	[2115.94, 406.025],	6,	2,	-1,	-1
0,	[2162.06, 403.936],	2,	6,	-1,	-1
0,	[2069.98, 408.036],	3,	7,	-1,	-1
0,	[1762.33, 409.109],	6,	2,	-1,	-1
0,	[2023.99, 409.949],	3,	7,	-1,	-1
0,	[1846.05, 412.022],	2,	3,	-1,	-1
0,	[1889.95, 412.05],	3,	6,	-1,	-1
0,	[1933.99, 412.014],	6,	3,	-1,	-1
0,	[1978.99, 411.042],	3,	3,	-1,	-1
0,	[2596.99, 414.07],	2,	-1,	-1,	-1
0,	[2544.04, 423.012],	6,	2,	-1,	-1
0,	[2493.96, 429.939],	2,	6,	-1,	-1
0,	[2443.04, 436.918],	6,	2,	-1,	-1
0,	[2393.04, 442.045],	2,	6,	-1,	-1
0,	[2344.97, 446.978],	2,	2,	-1,	-1
0,	[1552.83, 447.409],	0,	6,	-1,	-1
0,	[1591.06, 453.023],	6,	3,	-1,	-1
0,	[2248, 455.056],	0,	1,	-1,	-1
0,	[1630.5, 457.017],	3,	1,	-1,	-1
0,	[2200.01, 458.909],	3,	0,	-1,	-1
0,	[2152.96, 461.057],	2,	3,	-1,	-1
0,	[1667.55, 461.079],	1,	6,	-1,	-1
0,	[1709.98, 464.083],	6,	2,	-1,	-1
0,	[1751.03, 466.929],	2,	3,	-1,	-1
0,	[2061.03, 465.052],	2,	2,	-1,	-1
0,	[2014.02, 467.907],	1,	2,	-1,	-1
0,	[2638.49, 466.074],	6,	-1,	-1,	-1
0,	[1793.97, 468.915],	3,	6,	-1,	-1
0,	[1836.96, 469.908],	6,	2,	-1,	-1
0,	[1923.77, 468.536],	2,	5,	-1,	-1
0,	[2585.97, 476.2],	0,	6,	-1,	-1
0,	[2534.95, 482.931],	6,	0,	-1,	-1
0,	[2483.96, 489.001],	6,	6,	-1,	-1
0,	[2435.01, 494.973],	7,	6,	-1,	-1
0,	[2384.93, 499.942],	2,	6,	-1,	-1
0,	[2335.92, 504.92],	6,	2,	-1,	-1
0,	[2287, 508.925],	6,	6,	-1,	-1
0,	[1618.94, 514.974],	0,	2,	-1,	-1
0,	[2238.74, 511.707],	5,	6,	-1,	-1
0,	[2191.98, 515.052],	6,	5,	-1,	-1
0,	[1659.96, 518.071],	2,	1,	-1,	-1
0,	[2144.06, 517.978],	2,	6,	-1,	-1
0,	[2680.97, 518.003],	0,	6,	-1,	-1
0,	[2097.95, 520.07],	0,	2,	-1,	-1
0,	[1700.04, 521.001],	1,	1,	-1,	-1
0,	[2052.01, 522.007],	3,	0,	-1,	-1
0,	[1741, 523.002],	1,	6,	-1,	-1
0,	[1784.01, 524.945],	6,	6,	-1,	-1
0,	[2005.99, 523.966],	2,	3,	-1,	-1
0,	[1827.93, 525.942],	7,	0,	-1,	-1
0,	[1870.95, 525.955],	0,	3,	-1,	-1
0,	[1915.97, 526.014],	3,	6,	-1,	-1
0,	[1960.05, 525.035],	6,	2,	-1,	-1
0,	[2629.03, 526.906],	3,	0,	-1,	-1
0,	[2576.98, 533.956],	7,	3,	-1,	-1
0,	[2526.03, 540.917],	3,	7,	-1,	-1
0,	[1420.08, 545.148],	2,	1,	-1,	-1
0,	[2475.97, 546.913],	2,	3,	-1,	-1
0,	[2425.96, 551.893],	4,	2,	-1,	-1
0,	[1492.9, 557.926],	1,	6,	-1,	-1
